Q1,A1,Q2,A2
공동주택의 실내 라돈의 측정지점은 어떻게 돼?,"라돈은 자연적으로 발생하는 기체 상태의 방사성 물질로, 건물 내부에서 발생하는 물질입니다. 공동주택의 경우, 실내 라돈을 측정하기 위해서는 최저층에서 측정합니다. 또한, 공동주택의 총 세대수가 100세대일 때에는 3세대를 측정하며, 100세대가 증가할 때마다 1세대씩 추가하여 시료를 채취합니다. 최대 12세대까지 시료를 채취하여 라돈 농도를 측정하는 것이 권장됩니다.",공동주택의 실내 라돈 측정지점을 어디에 정하는 것이 가장 적합한가요?,"라돈은 공동주택의 최저층에서 측정하며, 공동주택의 총 세대수에 따라 측정 지점을 결정합니다. 보통 100세대까지는 3세대를 측정하고, 이후 100세대가 증가할 때마다 1세대씩 추가하여 최대 12세대까지 시료를 채취합니다."
소화기 설치 기준이 뭐야?,"소화기 설치 기준은 건물의 연면적에 따라서 정해지며, 보행거리에 따라 설치해아합니다. 연면적 3.3제곱미터마다 소화기를 설치해야 하고, 각 층마다 소화기를 설치하여야 합니다. 소형소화기의 경우 보행거리 20m마다 1개 이상, 대형 소화기의 경우 보행거리 30m 이내마다 1개 이상 설치해야 합니다.",소화기를 설치하는데 필요한 기준은 무엇인가요?,"소화기의 설치 기준은 연면적 3.3제곱미터 당 1개의 소화기가 설치되어야 하며, 각 층마다 소화기가 설치돼야 합니다. 더불어, 소형 소화기의 경우 보행거리 20m마다 1개 이상, 대형 소화기의 경우 보행거리 30m 이내에 1개 이상의 소화기가 설치돼야 합니다. 이 규칙은 화재의 초기 단계에 빠르게 대응할 수 있도록 안전을 유지하기 위한 것입니다."
아파트 도배평수는 어떻게 게산해?,"아파트 도배평수는 대부분이 일반적으로 분양 평수에 2.5를 곱하여 계산합니다. 이는 일반적으로 가장 흔히 사용되는 방법이며, 아파트 내부의 벽 및 천장 등을 도배할 때 필요한 도배용 평수를 나타냅니다. 따라서 다른 추가적인 고려 요인은 들어가지 않는 경우가 많습니다.",아파트 도배를 평수를 어떻게 계산해야 하나요?,아파트 도배평수는 일반적으로 분양 평수의 2.5배로 계산합니다. 이는 일반적인 규모의 아파트 도배 작업에 적용되는 규칙적인 계산 방식입니다. 도배 작업을 위한 재료 및 공사비 등을 산정할 때 유용하게 사용될 수 있습니다.
방수와 발수의 차이가 뭐야?,"방수는 제품 표면에 파라핀, 플라스틱 또는 우레탄과 같은 코팅막을 형성하여 제품에 소수성을 부여하는 것을 말합니다. 이는 제품을 물에 젖지 않도록 보호하는 역할을 합니다. 반면에 발수는 표면에 보이지 않는 막을 형성하여 물이 굴러가거나 튕겨 나가도록 만드는 것을 의미합니다. 즉, 발수 처리된 표면에는 물이 입혀도 제품으로 빠르게 흐르거나 흡수되지 않고 튕겨져 나가게 됩니다.",방수와 발수의 차이점은 무엇인가요?,"방수는 제품의 표면에 파라핀, 플라스틱이나 우레탄과 같은 코팅막을 형성하여 제품이 물을 투과하지 못하도록 만드는 것을 말하며, 발수는 표면에 물을 떨어뜨리면 물이 굴러가거나 튕겨 나가는 것을 말합니다. 이는 물을 액체 상태로 유지시켜 주는 성질로, 표면 특성을 통해 물을 피할 수 있게 만들어줍니다."
건설이 뭐야?,"건설은 주로 건물이나 다른 시설물을 설계하고 건축하거나 고쳐 짓는 일련의 프로세스를 의미합니다. 주로 건축과 토목을 포함하며, 건물을 짓는 것부터 인프라구조물을 만드는 작업 등을 모두 포함합니다.",건설업은 어떤 종류의 활동을 포함하나요?,"건설은 주로 건물이나 다른 구조물을 건축하거나 설치하는 일련의 프로세스를 의미합니다. 또한 도로, 다리, 터널 등의 인프라를 건설하는 것도 포함됩니다. 이러한 프로세스는 설계, 자재 조달, 건축, 공사, 시공, 그리고 유지보수 단계를 포함하고 있습니다."
토목이 뭐야?,"토목이란 목재, 철재, 토석 등을 활용하여 도로, 교량, 항만, 제방, 철도, 건물, 상하수도와 같은 다양한 시설물을 건설하는 분야를 말합니다. 토목은 인프라를 구축하고 유지하는데 필수적인 역할을 담당하며, 공공 및 민간의 다양한 건설프로젝트에 관여하고 있습니다.",토목이란 무엇인가요?,"토목은 목재, 철재, 토석 등을 활용하여 도로, 교량, 항만, 제방, 철도, 건물, 상하수도 등을 건설하는 분야를 가리킵니다. 이 분야는 여러 재료와 기술을 활용하여 기반구조물을 설계하고 건설하는 것을 포함하며, 인프라 및 건설 시설물의 안전과 효율성을 담보합니다."
층간소음의 기준이 뭐야?,"층간소음의 기준은 1분을 기준으로, 주간에는 40dB, 야간에는 3dB을 넘을 경우 층간소음으로 분류됩니다. 또한, 최고 소음이 주간에 55dB, 야간에 50dB을 넘을 경우 층간소음 피해가 적용됩니다. 이러한 기준은 소음 관리법에 근거하여 설정되어 있습니다.",층간소음이 발생하는 기준은 어떤 것인가요?,"층간소음의 기준은 1분을 기준으로 주간에는 40dB, 야간에는 3dB을 넘을 경우에 층간소음으로 분류되며 최고 소음이 주간 55dB, 야간 50dB을 넘을 경우 층간소음 피해가 적용됩니다. 이런 기준은 국내 건축법 및 소음 및 진동관리법에 따라 정해진 것으로, 시간대 및 소음의 높낮이에 따라 적용되는 기준치가 다르게 적용됩니다. 만약 층간소음으로 인해 민원을 제기하고자 한다면 해당 기준치를 따져서 소음 측정을 통해 증명해야 합니다."
흡음이 뭐야?,"흡음이란 외부에서 발생하는 소음이나 음악 등의 소리가 흡수되어 감쇠되는 현상을 말합니다. 건축물 내부나 공간에서 흡음 기술을 사용하여 소음을 줄이고 쾌적한 환경을 조성하는 것이 가능합니다. 흡음 기술은 재료의 종류, 설치 방법, 구조 등에 따라 차이가 있을 수 있습니다.",흡음이란 무엇인가요?,"흡음이란 소음이나 음향이 특정 재료나 구조에 충돌할 때 해당 소음이나 음향의 에너지가 해당 재료나 구조에 흡수되는 과정을 말합니다. 흡음은 재료의 종류, 취부 방법, 구조 등에 의해 다양하게 발생할 수 있습니다."
새집증후군이 뭐야?,"새집증후군이란 건물 신축이나 리모델링 후에 발생하는 화학물질에 의한 유해한 영향으로, 휘발성 유기 화합물에 노출되어 실내공기가 오염되어 눈과 목의 통증, 두통, 천식, 아토피성 피부염 등을 유발할 수 있는 증후군을 나타냅니다. 실내공기 중에 증발하는 화학물질이 공기 중에 오랫동안 머무르거나 출혈성 냄새로 나타나는 것이 특징입니다.특히 신축 주택이나 리모델링이 완료된 집에서 주로 발생하며, 화학물질에 민감한 사람들에게 영향을 줄 수 있습니다.검사나 시설 개선 등을 통해 적절히 대처하는 것이 중요합니다.",새집증후군에 대해 좀 더 알려주세요.,"새집증후군은 건축물 내부에서 발생하는 화학물질에 의해 유발되는 건강 문제입니다. 신축 또는 리모델링 후 휘발성 유기화합물(VOC), 포름알데히드, 아세트알데히드 등의 유해 물질로 인해 실내 환경이 오염되어 눈, 코, 목의 통증, 두통, 천식, 아토피성 피부염 등의 질병들이 발생하는 것을 말합니다. 증상의 심각성은 사용자의 민감도에 따라 달라질 수 있으며, 공기 청정기나 건물 자체의 환기 시스템을 통해 예방할 수 있습니다. 또한, 건축자재나 가구 등을 신중히 선택하고, 건축 공사 시에는 신속한 환기와 유해 물질 배출이 중요합니다."
라돈을 제외한 공동주택의 실내공기질 측정지점이 어떻게 돼?,"라돈을 제외한 공동주택의 실내공기질 측정지점은 실내공기질공정시험기준에 따라서 100세대의 경우 3개 세대(저층부, 중층부, 고층부)를 기본적으로 선택합니다. 또한 100세대가 증가할 때마다 1세대씩 추가하며, 최대 20세대까지 시료를 채취하게 됩니다. 이때 중층부, 저층부, 고층부 순으로 시료 채취 위치가 증가하게 됩니다.",공동주택의 실내공기질을 측정하기 위한 지점 설정은 어떻게 하는 게 좋을까요?,"라돈을 제외한 공동주택의 실내공기질 측정지점은 일반적으로 100세대일 때 3개 세대(저층부, 중층부, 고층부)를 기본으로 채취합니다. 그리고 100세대가 늘어날 때마다 1세대씩 추가하여 최대 20세대까지 측정지점을 확대합니다. 이때 중층부, 저층부, 고층부 순서로 추가하게 됩니다. 따라서 다양한 위치의 가구와 가전제품 등에 의한 영향을 반영하여 실내공기질 측정이 이루어지게 됩니다."
사무실의 실내공기 시료채취 및 측정지점이 어떻게 돼?,"사무실의 실내공기 측정을 위해서는 공기질이 가장 나쁠 것으로 예상되는 2곳 이상에서 시료를 채취해야 합니다. 이때, 측정은 사무실 바닥면으로부터 0.9미터 이상 1.5미터 이하의 높이에서 진행되어야 합니다. 만일 사무실 면적이 500제곱미터를 초과하는 경우에는 500제곱미터마다 1곳씩 추가적으로 측정지점을 설정해야 합니다. 이렇게 함으로써 측정 시료를 평균화시켜서 정확한 결과를 얻을 수 있습니다.",사무실의 실내공기 측정을 위해 어떤 장비가 필요한가요?,"실내공기의 측정시료는 사무실 내 공기질이 가장 나쁜 것으로 예상되는 2곳 이상에서 채취해야 합니다. 이때, 측정은 사무실 바닥면으로부터 0.9미터 이상 1.5미터 이하의 높이에서 이루어져야 합니다. 그러나 사무실 면적이 500제곱미터를 초과하는 경우에는 500제곱미터마다 1곳씩 추가하여 시료를 채취해야 합니다."
소화기 종류는 뭐가 있어?,"소화기에는 여러 종류가 있습니다. 주로 사용되는 소화기로는 ABC 소화기, 분말 소화기, 이산화탄소 소화기 등이 있습니다. 하지만 이외에도 물 소화기, 거품 소화기, 물 분무 소화기 등의 다양한 종류가 있으며, 사용 용도에 따라 적합한 소화기를 선택하는 것이 중요합니다.",어떤 종류의 소화기가 있나요?,"소화기에는 ABC 소화기, 분말 소화기, 이산화탄소 소화기 등이 있습니다. 이외에도 물 소화기, 거품 소화기, 블루젤 소화기, 화학방지복용 소화기 등 다양한 종류가 있으며, 화재의 종류와 용도에 따라 적합한 소화기를 선택해야 합니다."
새집증후군을 예방하는 방법이 뭐야?,"새집증후군을 예방하는 방법은 목재 가구나 건축자재 등에 사용된 화학물질을 최소화하는 것이 중요합니다. 포르말린이 사용되지 않은 목재 가구를 선택하고, 휘발성 유기화합물을 방출하는 방향제 및 화학물질 함유 제품을 사용하지 않도록 주의해야 합니다. 또한 실내 흡연을 피하고, 공기 청정식물을 키우며, 실내 환기를 자주 시키는 것도 중요한 예방 방법입니다. 공기 청정기를 사용하여 공기 중의 유해 물질을 제거하는 것도 도움이 될 수 있습니다. 또한 주거 공간이나 사무실의 습도와 온도를 적절히 유지하여 건강한 환경을 유지하는 것이 중요합니다.",새집증후군을 예방하기 위해 사용할 수 있는 실용적인 방법이 있을까요?,"새집증후군을 예방하는 방법은 목재 가구나 건축 자재에 포름알데히드 등 유해 물질이 사용되지 않도록 주의해야 합니다. 또한 실내 흡연을 피하고, 휘발성 유기 화합물을 함유한 제품 및 방향제를 사용하지 않아야 합니다. 실내에 공기 정화 식물을 두고, 자주 환기를 시켜 공기를 맑고 건강하게 유지하는 것이 중요합니다. 또한 실내 습도를 적정하게 유지하고 정기적으로 청소를 하면 더욱 효과적일 것입니다."
